O-antigen,Structure,sugar
O130,Gro(2-P-4)bDGalNAc(1->3) | ->4)aDGal(1->6)bDGlc(1->3)bDGalNAc(1->,aDGal|bDGalNAc|bDGlc
O131,->8)aNeu5Ac(2->6)bDGal(1->6)bDGal(1->3)bDGalNAc(1->,aNeu5Ac|bDGal|bDGalNAc
O132,->2)aDGalf(1->3)aLRha2Ac(1->4)aDGlc(1->2)aLRha(1->3)bDGlcNAc(1->,aDGalf|aDGlc|aLRha|aLRha2Ac|bDGlcNAc
O133,->3)aLRha(1->2)aLRha(1->2)aLRha(1->4)aDGalA(1->3)aDGlcNAc(1-> | aDGlc(1->3),aDGalA|aDGlcNAc|aLRha
O134,->4)bDGlcA6LThr(1->6)bDGal(1->6)bDGlc(1->3)bDGalNAc(1->,bDGal|bDGalNAc|bDGlc|bDGlcA6LThr
O135,aDGlc(1->6) | ->2)aLRha(1->2)aLRha(1->3)aLRha2Ac(1->3)bDGlcNAc(1->,aLRha|aLRha2Ac|bDGlcNAc
O136,->4)bPse(2->4)bDGal(1->4)bDGlcNAc(1->,bDGal|bDGlcNAc|bPse
O137,bDGlc(1->4) | ->6)aDGlcNAc(1->4)bDGlcA(1->4)bDGlcNAc(1->,aDGlcNAc|bDGlcA|bDGlcNAc
O138,->2)aLRha(1->3)aLRha(1->4)aDGalNAcA(1->3)bDGlcNAc(1->,aDGalNAcA|aLRha|bDGlcNAc
O139,bDGlc(1->3) | ->3)aLRha(1->4)aDGalA(1->2)aLRha(1->3)aLRha(1->2)aLRha(1->3)aDGlcNAc(1->,aDGalA|aDGlcNAc|aLRha
O140,aDGalf(1->2)aLRha(1->4) | ->3)bDGal(1->4)aDGlc(1->4)bDGlcA(1->3)bDGalNAc(1->,aDGlc|aLRha|bDGal|bDGalNAc|bDGlcA
O141,aLRha(1->3) | ->4)aDMan(1->3)aDMan6Ac(1->3)bDGlcNAc(1-> | bDGlcA(1->2),aDMan|aDMan6Ac|bDGlcNAc
O142,->2)aLRha(1->6)aDGalNAc(1->4)aDGalNAc(1->3)aDGalNAc(1-> | bDGlcNAc(1->3),aDGalNAc|aLRha
O143,Gro(2-N-6) | ->2)bDGalA(1->3)aDGalNAc(1->4)bDGlcA(1->3)bDGlcNAc(1->,aDGalNAc|bDGalA|bDGlcA|bDGlcNAc
O144,,
